01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1997,Portugal,,Básico - 1º ciclo,,,,,149562.4
1997,Portugal,,Básico - 2º ciclo,,,,,95405.9
1997,Portugal,,Básico - 3º ciclo,,,,,62170.2
1997,Portugal,,Nenhum,,,,,35202.2
1997,Portugal,,Secundário,,,,,62765.6
1997,Portugal,,Superior,,,,,23375.4
1997,Portugal,,Total,,,,,428481.7
1998,Portugal,,Básico - 1º ciclo,,,,,136965.6
1998,Portugal,,Básico - 2º ciclo,,,,,82805.3
1998,Portugal,,Básico - 3º ciclo,,,,,56391.8
1998,Portugal,,Nenhum,,,,,32681.1
1998,Portugal,,Secundário,,,,,57567.3
1998,Portugal,,Superior,,,,,20908.6
1998,Portugal,,Total,,,,,387319.8
1999,Portugal,,Básico - 1º ciclo,,,,,125058.0
1999,Portugal,,Básico - 2º ciclo,,,,,70630.7
1999,Portugal,,Básico - 3º ciclo,,,,,49750.8
1999,Portugal,,Nenhum,,,,,29440.3
1999,Portugal,,Secundário,,,,,50716.3
1999,Portugal,,Superior,,,,,19632.2
1999,Portugal,,Total,,,,,345228.3
2000,Portugal,,Básico - 1º ciclo,,,,,115842.0
2000,Portugal,,Básico - 2º ciclo,,,,,62449.8
2000,Portugal,,Básico - 3º ciclo,,,,,45192.1
2000,Portugal,,Nenhum,,,,,27069.6
2000,Portugal,,Secundário,,,,,45666.3
2000,Portugal,,Superior,,,,,20698.8
2000,Portugal,,Total,,,,,316918.5
2001,Portugal,,Básico - 1º ciclo,,,,,113518.4
2001,Portugal,,Básico - 2º ciclo,,,,,62677.1
2001,Portugal,,Básico - 3º ciclo,,,,,46929.8
2001,Portugal,,Nenhum,,,,,25416.9
2001,Portugal,,Secundário,,,,,45395.1
2001,Portugal,,Superior,,,,,22230.9
2001,Portugal,,Total,,,,,316168.3
2002,Portugal,,Básico - 1º ciclo,,,,,115853.8
2002,Portugal,,Básico - 2º ciclo,,,,,68147.0
2002,Portugal,,Básico - 3º ciclo,,,,,52403.3
2002,Portugal,,Nenhum,,,,,23924.3
2002,Portugal,,Secundário,,,,,50711.0
2002,Portugal,,Superior,,,,,25621.1
2002,Portugal,,Total,,,,,336660.5
2003,Portugal,,Básico - 1º ciclo,,,,,138119.0
2003,Portugal,,Básico - 2º ciclo,,,,,86416.3
2003,Portugal,,Básico - 3º ciclo,,,,,66697.5
2003,Portugal,,Nenhum,,,,,26004.4
2003,Portugal,,Secundário,,,,,65899.3
2003,Portugal,,Superior,,,,,34444.4
2003,Portugal,,Total,,,,,417580.8
2004,Portugal,,Básico - 1º ciclo,,,,,150738.6
2004,Portugal,,Básico - 2º ciclo,,,,,94002.6
2004,Portugal,,Básico - 3º ciclo,,,,,72937.6
2004,Portugal,,Nenhum,,,,,26184.3
2004,Portugal,,Secundário,,,,,70884.5
2004,Portugal,,Superior,,,,,36406.9
2004,Portugal,,Total,,,,,451154.5
2005,Portugal,,Básico - 1º ciclo,,,,,155662.1
2005,Portugal,,Básico - 2º ciclo,,,,,97576.8
2005,Portugal,,Básico - 3º ciclo,,,,,77388.4
2005,Portugal,,Nenhum,,,,,25299.0
2005,Portugal,,Secundário,,,,,72340.8
2005,Portugal,,Superior,,,,,37846.3
2005,Portugal,,Total,,,,,466113.3
