Ano,PIB (em milhões),PIB_per_capita,Crescimento PIB (em milhões),Crescimento PIB_per_capita
1960,493.9,56.0,,
1961,516.1,58.0,4.494837011540809,3.571428571428581
1962,577.4,64.0,11.877543111800026,10.344827586206895
1963,597.4,66.0,3.463803255975062,3.125
1964,649.4,72.0,8.704385671242054,9.090909090909083
1965,756.3,84.0,16.461348937480746,16.666666666666675
1966,810.5,91.0,7.166468332672227,8.333333333333325
1967,907.1,102.0,11.918568784700811,12.08791208791209
1968,979.6,111.0,7.992503582846444,8.823529411764696
1969,1048.5,120.0,7.0334830543078874,8.108108108108114
1970,1186.7,137.0,13.180734382451131,14.16666666666666
1971,1377.0,159.0,16.036066402629135,16.058394160583944
1972,1624.4,188.0,17.96659404502543,18.23899371069182
1973,1919.1,222.0,18.142083230731345,18.085106382978733
1974,2279.1,260.0,18.758793184305134,17.117117117117118
1975,2632.3,290.0,15.497345443376776,11.538461538461542
1976,3160.1,338.0,20.0509060517418,16.551724137931046
1977,4074.3,431.0,28.929464257460214,27.51479289940828
1978,5039.3,527.0,23.68505019267113,22.2737819025522
1979,6404.3,663.0,27.087095429920826,25.806451612903224
1980,8356.8,856.0,30.48732882594505,29.110105580693823
1981,10058.2,1021.0,20.359467738847425,19.275700934579444
1982,12147.0,1226.0,20.76713527271281,20.07835455435847
1983,15440.0,1551.0,27.109574380505475,26.508972267536702
1984,18948.9,1896.0,22.72603626943006,22.24371373307543
1985,23226.6,2317.0,22.574925193546846,22.204641350210963
1986,28332.5,2824.0,21.982985025789414,21.8817436340095
1987,33508.4,3341.0,18.268419659401758,18.30736543909348
1988,40045.8,3997.0,19.50973487244989,19.6348398683029
1989,47221.2,4720.0,17.91798390842483,18.08856642481862
1990,56691.9,5679.0,20.056034154151114,20.31779661016948
1991,65005.2,6527.0,14.663999618993184,14.932206374361678
1992,72957.5,7331.0,12.233329025985618,12.31806342883408
1993,76065.1,7634.0,4.259466127540024,4.133133269676725
1994,82468.7,8254.0,8.418578296748436,8.121561435682478
1995,89028.6,8880.0,7.954411795020433,7.584201599224616
1996,94351.6,9375.0,5.9789775420482805,5.57432432432432
1997,102331.0,10123.0,8.45709028781705,7.978666666666667
1998,111353.4,10960.0,8.81687856074893,8.268299911093546
1999,119603.3,11705.0,7.40875447000271,6.797445255474455
2000,128414.4,12480.0,7.3669371998932975,6.621102093122588
2001,135775.0,13102.0,5.731911685916846,4.983974358974352
2002,142554.3,13681.0,4.993039955809242,4.41917264539764
2003,146067.9,13966.0,2.4647450129529735,2.083181054016525
2004,152248.4,14522.0,4.231251356389731,3.9810969497350746
2005,158552.7,15095.0,4.14079885240175,3.9457375017215357
2006,166260.5,15801.0,4.861348939500876,4.677045379264655
2007,175483.4,16645.0,5.547258669377264,5.341434086450225
2008,179102.8,16963.0,2.0625312707640786,1.91048362871733
2009,175416.4,16598.0,-2.0582592790285736,-2.1517420267641363
2010,179860.4,17011.0,2.5334005258345282,2.488251596577906
2011,176318.0,16674.0,-1.969527477977362,-1.9810710716595126
2012,168538.8,16003.0,-4.412028267108303,-4.024229339090802
2013,170675.6,16295.0,1.2678386223231808,1.8246578766481392
2014,173186.7,16621.0,1.4712706444272028,2.0006136851794976
2015,179392.7,17279.0,3.5834160475371357,3.9588472414415543
2016,186380.7,17996.0,3.8953647500706623,4.1495456913015705
2017,195509.1,18908.0,4.897717413873859,5.067792842853969
2018,204997.6,19836.0,4.85322678074831,4.907975460122693
2019,214489.9,20715.0,4.63044445398384,4.43133696309741
2020,201032.7,19358.0,-6.274048335143045,-6.550808592807145
2021,216493.7,20801.0,7.690788612996791,7.454282467197015
2022,243957.1,23303.0,12.685542350654998,12.028267871736942
2023,267923.2,25328.0,9.823899365913103,8.689868257305932
2024,285189.3,26666.0,6.444421386427157,5.282691092861658
