Ano,PIB,PIB_per_capita
1960,4939,56.0
1960,4939,31.0
1961,5161,58.0
1961,5161,19.0
1962,5774,64.0
1962,5774,94.0
1963,5974,66.0
1963,5974,11.0
1964,6494,72.0
1964,6494,54.0
1965,7563,84.0
1965,7563,99.0
1966,8105,91.0
1966,8105,37.0
1967,9071,102.0
1967,9071,57.0
1968,9796,111.0
1968,9796,40.0
1969,10485,120.0
1969,10485,32.0
1970,11867,137.0
1970,11867,83.0
1971,13770,159.0
1971,13770,67.0
1972,16244,188.0
1972,16244,99.0
1973,19191,222.0
1973,19191,56.0
1974,22791,260.0
1974,22791,-13.0
1975,26323,290.0
1975,26323,-69.0
1976,31601,338.0
1976,31601,-12.0
1977,40743,431.0
1977,40743,19.0
1978,50393,527.0
1978,50393,23.0
1979,64043,663.0
1979,64043,42.0
1980,83568,856.0
1980,83568,57.0
1981,100582,1021.0
1981,100582,16.0
1982,121470,1226.0
1982,121470,7.0
1983,154400,1551.0
1983,154400,12.0
1984,189489,1896.0
1984,189489,-17.0
1985,232266,2317.0
1985,232266,6.0
1986,283325,2824.0
1986,283325,30.0
1987,335084,3341.0
1987,335084,68.0
1988,400458,3997.0
1988,400458,65.0
1989,472212,4720.0
1989,472212,59.0
1990,566919,5679.0
1990,566919,64.0
1991,650052,6527.0
1991,650052,31.0
1992,729575,7331.0
1992,729575,18.0
1993,760651,7634.0
1993,760651,-18.0
1994,824687,8254.0
1994,824687,15.0
1995,890286,8880.0
1995,890286,20.0
1996,943516,9375.0
1996,943516,31.0
1997,1023310,10123.0
1997,1023310,39.0
1998,1113534,10960.0
1998,1113534,43.0
1999,1196033,11705.0
1999,1196033,33.0
2000,1284144,12480.0
2000,1284144,31.0
2001,1357750,13102.0
2001,1357750,12.0
2002,1425543,13681.0
2002,1425543,2.0
2003,1460679,13966.0
2003,1460679,-13.0
2004,1522484,14522.0
2004,1522484,15.0
2005,1585527,15095.0
2005,1585527,6.0
2006,1662605,15801.0
2006,1662605,14.0
2007,1754834,16645.0
2007,1754834,23.0
2008,1791028,16963.0
2008,1791028,2.0
2009,1754164,16598.0
2009,1754164,-32.0
2010,1798604,17011.0
2010,1798604,17.0
2011,1763180,16674.0
2011,1763180,-17.0
2012,1685388,16003.0
2012,1685388,-37.0
2013,1706756,16295.0
2013,1706756,-4.0
2014,1731867,16621.0
2014,1731867,13.0
2015,1793927,17279.0
2015,1793927,20.0
2016,1863807,17996.0
2016,1863807,23.0
2017,1955091,18908.0
2017,1955091,35.0
2018,2049976,19836.0
2018,2049976,30.0
2019,2144899,20715.0
2019,2144899,25.0
2020,2010327,19358.0
2020,2010327,-85.0
2021,2164937,20801.0
2021,2164937,53.0
2022,2439571,23303.0
2022,2439571,64.0
2023,2679232,25328.0
2023,2679232,16.0
2024,2851893,26666.0
